number of parameters in ctrlfnet: 59442525
Ctrl-F-Mini: Loading weights from: model/ctrlfnet_mini_phoc_iiit_hws.pt
[iter   200] eo: 0.01974 | e: 1.29759 | total_loss: 1.31733 | 
[iter   400] eo: 0.01429 | e: 0.92081 | total_loss: 0.93509 | 
Extract Features
mAP_eval -> postprocessing
mAP = 0.37 (from)
mAP = 1.00 (their)
mAP = 0.83 (being)
mAP = 1.00 (transmitted)
mAP = 0.70 (at)
mAP = 1.00 (intervals)
mAP = 0.49 (of)
mAP = 0.87 (months)
mAP = 0.88 (the)
mAP = 1.00 (money)
mAP = 0.45 (received)
mAP = 1.00 (not)
mAP = 1.00 (expended)
mAP = 0.26 (in)
mAP = 0.89 (the)
mAP = 1.00 (different)
mAP = 1.00 (months)
mAP = 0.71 (has)
mAP = 1.00 (enabled)
mAP = 1.00 (me)
mAP = 0.72 (to)
mAP = 1.00 (under)
mAP = 1.00 (take)
mAP = 1.00 (works)
mAP = 0.41 (of)
mAP = 1.00 (considerable)
mAP = 1.00 (expence)
mAP = 0.00 (i)
mAP = 0.03 (have)
mAP = 0.04 (built)
mAP = 0.36 (a)
mAP = 0.70 (large)
mAP = 0.36 (well)
mAP = 0.50 (20)
mAP = 0.00 (feet)
mAP = 0.26 (in)
mAP = 1.00 (diameter)
mAP = 0.94 (and)
mAP = 0.50 (mounted)
mAP = 0.56 (it)
mAP = 0.69 (with)
mAP = 1.00 (three)
mAP = 1.00 (priotas)
mAP = 1.00 (hitherto)
mAP = 1.00 (sufficient)
mAP = 0.72 (to)
mAP = 0.83 (water)
mAP = 0.75 (all)
mAP = 0.88 (the)
mAP = 0.67 (garden)
mAP = 0.94 (and)
mAP = 0.92 (have)
mAP = 1.00 (raised)
mAP = 1.00 (levelled)
mAP = 0.94 (and)
mAP = 1.00 (cultivated)
mAP = 0.00 (more)
mAP = 0.80 (ground)
mAP = 1.00 (than)
mAP = 0.30 (was)
mAP = 0.63 (at)
mAP = 0.92 (first)
mAP = 1.00 (specified)
mAP = 1.00 (without)
mAP = 1.00 (subjecting)
mAP = 0.86 (the)
mAP = 1.00 (honble)
mAP = 1.00 (com)
mAP = 1.00 (pany)
mAP = 0.68 (to)
mAP = 0.82 (any)
mAP = 1.00 (additional)
mAP = 0.92 (expence)
mAP = 1.00 (besides)
mAP = 0.86 (the)
mAP = 0.50 (cultivation)
mAP = 0.65 (of)
mAP = 0.88 (the)
mAP = 0.50 (nopal)
mAP = 0.65 (of)
mAP = 0.74 (which)
mAP = 1.00 (there)
mAP = 0.29 (are)
mAP = 0.50 (great)
mAP = 1.00 (quantities)
mAP = 0.37 (of)
mAP = 0.75 (all)
mAP = 0.87 (the)
mAP = 1.00 (different)
mAP = 1.00 (kinds)
mAP = 0.67 (by)
mAP = 0.27 (dr)
mAP = 1.00 (andersons)
mAP = 0.83 (desire)
mAP = 0.36 (as)
mAP = 1.00 (appears)
mAP = 0.24 (in)
mAP = 0.77 (his)
mAP = 0.58 (letters)
mAP = 0.73 (to)
mAP = 0.89 (the)
mAP = 1.00 (honble)
mAP = 1.00 (board)
mAP = 0.06 (i)
mAP = 0.92 (have)
mAP = 1.00 (endeavoured)
mAP = 0.02 (to)
mAP = 1.00 (turn)
mAP = 0.44 (a)
mAP = 0.50 (part)
mAP = 0.58 (of)
mAP = 0.86 (the)
mAP = 1.00 (ground)
mAP = 1.00 (into)
mAP = 0.35 (a)
mAP = 0.50 (botanical)
mAP = 0.03 (garden)
mAP = 0.94 (and)
mAP = 1.00 (3189)
mAP = 0.10 (fort)
mAP = 0.30 (st)
mAP = 0.23 (george)
mAP = 0.00 (2d)
mAP = 0.28 (december)
mAP = 0.29 (1791)
mAP = 0.32 (fort)
mAP = 0.25 (st)
mAP = 0.08 (george)
mAP = 0.58 (30th)
mAP = 0.69 (november)
mAP = 0.15 (1791)
mAP = 1.00 (improvements)
mAP = 0.75 (or)
mAP = 1.00 (even)
mAP = 1.00 (finishing)
mAP = 0.87 (the)
mAP = 1.00 (works)
mAP = 0.25 (i)
mAP = 0.92 (have)
mAP = 0.50 (begun)
mAP = 0.78 (as)
mAP = 0.13 (i)
mAP = 0.00 (was)
mAP = 1.00 (enabled)
mAP = 0.74 (to)
mAP = 1.00 (do)
mAP = 1.00 (formerly)
mAP = 0.18 (i)
mAP = 0.83 (request)
mAP = 0.60 (of)
mAP = 0.64 (you)
mAP = 0.74 (to)
mAP = 0.74 (lay)
mAP = 1.00 (this)
mAP = 0.58 (letter)
mAP = 0.65 (before)
mAP = 0.90 (the)
mAP = 1.00 (honble)
mAP = 0.88 (the)
mAP = 0.97 (president)
mAP = 0.23 (in)
mAP = 0.33 (council)
mAP = 0.87 (with)
mAP = 0.56 (its)
mAP = 1.00 (enclosures)
mAP = 0.94 (and)
mAP = 0.92 (have)
mAP = 0.89 (the)
mAP = 1.00 (honor)
mAP = 0.02 (to)
mAP = 0.88 (be)
mAP = 0.28 (c)
mAP = 0.28 (c)
mAP = 0.03 (andw)
mAP = 0.76 (berry)
mAP = 1.00 (superintendt)
mAP = 1.00 (honble)
mAP = 0.82 (companys)
mAP = 0.36 (nopalry)
mAP = 1.00 (observations)
mAP = 0.00 (resolutionthereon)
mAP = 0.45 (it)
mAP = 1.00 (appearing)
mAP = 0.79 (that)
mAP = 0.36 (a)
mAP = 0.30 (great)
mAP = 0.62 (part)
mAP = 0.59 (of)
mAP = 0.89 (the)
mAP = 1.00 (expense)
mAP = 1.00 (incurred)
mAP = 0.67 (at)
mAP = 0.89 (the)
mAP = 0.62 (nopalry)
mAP = 0.50 (has)
mAP = 0.79 (been)
mAP = 1.00 (occasioned)
mAP = 0.67 (by)
mAP = 1.00 (circumstances)
mAP = 0.77 (that)
mAP = 1.00 (cannot)
mAP = 0.25 (again)
mAP = 0.53 (occur)
mAP = 0.94 (and)
mAP = 0.78 (as)
mAP = 0.88 (the)
mAP = 0.63 (court)
mAP = 0.09 (of)
mAP = 1.00 (rectors)
mAP = 0.92 (have)
mAP = 0.95 (not)
mAP = 0.50 (authorized)
mAP = 0.69 (any)
mAP = 0.50 (deviation)
mAP = 0.28 (from)
mAP = 0.87 (the)
mAP = 1.00 (original)
mAP = 1.00 (design)
mAP = 0.63 (of)
mAP = 0.25 (a)
mAP = 1.00 (nopalryonly)
mAP = 0.89 (the)
mAP = 0.83 (board)
mAP = 1.00 (think)
mAP = 0.56 (it)
mAP = 1.00 (necessary)
mAP = 0.51 (till)
mAP = 1.00 (their)
mAP = 0.00 (plea)
mAP = 1.00 (sure)
mAP = 0.88 (be)
mAP = 1.00 (known)
mAP = 0.74 (to)
mAP = 1.00 (confine)
mAP = 0.89 (the)
mAP = 0.50 (expenses)
mAP = 0.74 (to)
mAP = 0.78 (that)
mAP = 1.00 (object)
mAP = 0.94 (and)
mAP = 0.87 (the)
mAP = 1.00 (preservation)
mAP = 0.65 (of)
mAP = 1.00 (such)
mAP = 1.00 (other)
mAP = 1.00 (plants)
mAP = 0.76 (as)
mAP = 0.67 (may)
mAP = 1.00 (already)
mAP = 0.92 (have)
mAP = 0.82 (been)
mAP = 1.00 (introduced)
mAP = 0.83 (into)
mAP = 0.88 (the)
mAP = 0.67 (garden)
mAP = 0.00 (but)
mAP = 0.47 (for)
mAP = 0.89 (the)
mAP = 0.67 (boards)
mAP = 1.00 (infor)
mAP = 1.00 (mation)
mAP = 1.00 (previous)
mAP = 0.73 (to)
mAP = 1.00 (forming)
mAP = 0.80 (any)
mAP = 1.00 (resolu)
mAP = 0.50 (tion)
mAP = 0.16 (on)
mAP = 0.88 (the)
mAP = 1.00 (present)
mAP = 1.00 (establishment)
mAP = 1.00 (resolved)
mAP = 0.77 (that)
mAP = 1.00 (doctor)
mAP = 0.42 (berry)
mAP = 0.88 (be)
mAP = 0.87 (desired)
mAP = 0.73 (to)
mAP = 1.00 (report)
mAP = 0.89 (the)
mAP = 1.00 (state)
mAP = 0.00 (3190)
mAP = 0.11 (fort)
mAP = 0.00 (st)
mAP = 0.00 (george)
mAP = 0.00 (2d)
mAP = 0.39 (december)
mAP = 0.25 (1791)
mAP = 0.70 (state)
mAP = 0.61 (of)
mAP = 0.89 (the)
mAP = 0.62 (nopalry)
mAP = 1.00 (particularizing)
mAP = 1.00 (what)
mAP = 1.00 (charges)
mAP = 0.00 (he)
mAP = 0.39 (may)
mAP = 1.00 (think)
mAP = 1.00 (absolutely)
mAP = 0.83 (necessary)
mAP = 0.50 (those)
mAP = 0.68 (which)
mAP = 0.67 (may)
mAP = 0.88 (be)
mAP = 1.00 (reduced)
mAP = 0.75 (or)
mAP = 1.00 (entirely)
mAP = 1.00 (discontinued)
mAP = 0.02 (from)
mAP = 0.72 (the)
mAP = 0.04 (clerk)
mAP = 0.39 (to)
mAP = 0.85 (the)
mAP = 0.24 (court)
mAP = 0.01 (of)
mAP = 1.00 (requests)
mAP = 0.77 (read)
mAP = 0.67 (letter)
mAP = 0.29 (from)
mAP = 0.87 (the)
mAP = 0.50 (clerk)
mAP = 0.74 (to)
mAP = 0.89 (the)
mAP = 0.63 (court)
mAP = 0.60 (of)
mAP = 1.00 (requests)
mAP = 0.11 (entered)
mAP = 0.00 (mb)
mAP = 0.00 (no)
mAP = 0.12 (1023)
mAP = 1.00 (reporting)
mAP = 0.89 (the)
mAP = 1.00 (election)
mAP = 0.59 (of)
mAP = 0.50 (new)
mAP = 1.00 (commissioners)
mAP = 0.53 (for)
mAP = 0.87 (the)
mAP = 1.00 (ensuing)
mAP = 0.00 (year)
mAP = 0.61 (read)
mAP = 0.55 (petition)
mAP = 0.60 (of)
mAP = 0.50 (permaul)
mAP = 0.50 (kistnama)
mAP = 1.00 (complaining)
mAP = 1.00 (against)
mAP = 1.00 (suthea)
mAP = 1.00 (raune)
mAP = 0.63 (of)
mAP = 0.51 (vizagapatam)
mAP = 0.37 (ordered)
mAP = 0.61 (that)
mAP = 0.15 (it)
mAP = 0.01 (be)
mAP = 1.00 (ferred)
mAP = 0.72 (to)
mAP = 0.87 (the)
mAP = 1.00 (chief)
mAP = 0.94 (and)
mAP = 0.47 (council)
mAP = 0.71 (at)
mAP = 0.78 (that)
mAP = 0.50 (place)
mAP = 0.88 (with)
mAP = 1.00 (directions)
mAP = 0.73 (to)
mAP = 1.00 (do)
mAP = 1.00 (justice)
mAP = 0.74 (to)
mAP = 0.88 (the)
mAP = 1.00 (parties)
mAP = 1.00 (concerned)
mAP = 0.00 (read)
mAP = 0.05 (the)
mAP = 0.00 (following)
mAP = 0.09 (letter)
mAP = 0.29 (from)
mAP = 0.48 (mr)
mAP = 1.00 (mitford)
mAP = 1.00 (accompanied)
mAP = 0.75 (by)
mAP = 0.37 (a)
mAP = 1.00 (memo)
mAP = 0.00 (rial)
mAP = 1.00 (addressed)
mAP = 0.73 (to)
mAP = 0.89 (the)
mAP = 1.00 (honble)
mAP = 0.89 (the)
mAP = 0.63 (court)
mAP = 0.02 (of)
mAP = 0.50 (directors)
mAP = 1.00 (petition)
mAP = 0.03 (of)
mAP = 0.00 (permaul)
mAP = 0.50 (kistnama)
mAP = 1.00 (referred)
mAP = 0.01 (to)
mAP = 0.54 (vizagapatam)
mAP = 0.01 (to)
mAP = 0.62 (the)
mAP = 1.00 (honble)
mAP = 1.00 (major)
mAP = 0.92 (general)
mAP = 1.00 (willm)
mAP = 1.00 (medows)
mAP = 0.84 (president)
mAP = 0.94 (and)
mAP = 1.00 (governor)
mAP = 0.00 (c)
mAP = 0.00 (in)
mAP = 0.04 (council)
mAP = 0.32 (fort)
mAP = 0.27 (st)
mAP = 0.01 (george)
mAP = 1.00 (honble)
mAP = 0.00 (3379)
mAP = 0.07 (fort)
mAP = 0.12 (st)
mAP = 0.01 (george)
mAP = 0.00 (20th)
mAP = 0.01 (december)
mAP = 0.25 (1791)
mAP = 1.00 (trichinopoly)
mAP = 0.76 (as)
mAP = 1.00 (mentioned)
mAP = 0.20 (in)
mAP = 0.89 (the)
mAP = 1.00 (orders)
mAP = 0.55 (of)
mAP = 0.84 (the)
mAP = 0.00 (19th)
mAP = 0.17 (from)
mAP = 0.53 (masulipatam)
mAP = 0.68 (read)
mAP = 0.88 (the)
mAP = 1.00 (undermentioned)
mAP = 0.13 (letters)
mAP = 0.67 (entered)
mAP = 0.00 (mb)
mAP = 0.00 (1050)
mAP = 0.00 (1051)
mAP = 1.00 (1052)
mAP = 0.00 (from)
mAP = 0.61 (masulipatam)
mAP = 0.88 (with)
mAP = 1.00 (journal)
mAP = 1.00 (parcels)
mAP = 0.44 (for)
mAP = 0.76 (november)
mAP = 0.00 (from)
mAP = 0.00 (mr)
mAP = 0.83 (atkinson)
mAP = 0.28 (from)
mAP = 0.48 (mr)
mAP = 0.54 (atkinson)
mAP = 0.25 (in)
mAP = 0.50 (reply)
mAP = 0.75 (to)
mAP = 0.88 (the)
mAP = 0.83 (boards)
mAP = 1.00 (orders)
mAP = 0.28 (in)
mAP = 0.88 (the)
mAP = 1.00 (subject)
mAP = 0.28 (of)
mAP = 0.87 (the)
mAP = 1.00 (scavengers)
mAP = 1.00 (employ)
mAP = 0.00 (from)
mAP = 0.53 (masulipatam)
mAP = 0.32 (from)
mAP = 0.62 (masulipatam)
mAP = 0.75 (with)
mAP = 0.50 (cash)
mAP = 0.36 (accounts)
mAP = 0.48 (for)
mAP = 0.80 (november)
mAP = 0.90 (and)
mAP = 1.00 (estimate)
mAP = 0.06 (of)
mAP = 0.00 (disburse)
mAP = 1.00 (ments)
mAP = 0.59 (for)
mAP = 0.15 (december)
mAP = 0.11 (probable)
mAP = 0.00 (balance)
mAP = 0.46 (of)
mAP = 0.01 (cash)
mAP = 0.69 (being)
mAP = 0.00 (mpag)
mAP = 0.00 (14583)
mAP = 1.00 (27)
mAP = 0.43 (letter)
mAP = 0.04 (from)
mAP = 0.00 (dr)
mAP = 0.18 (berry)
mAP = 0.00 (in)
mAP = 0.00 (reply)
mAP = 0.00 (relative)
mAP = 0.10 (to)
mAP = 0.79 (the)
mAP = 0.50 (companys)
mAP = 0.30 (nopalry)
mAP = 0.53 (read)
mAP = 0.87 (the)
mAP = 0.67 (following)
mAP = 0.68 (letter)
mAP = 0.33 (from)
mAP = 1.00 (doctor)
mAP = 1.00 (andrew)
mAP = 0.94 (berry)
mAP = 0.03 (to)
mAP = 0.69 (the)
mAP = 1.00 (honble)
mAP = 1.00 (sir)
mAP = 1.00 (charles)
mAP = 1.00 (pakeley)
mAP = 1.00 (bar)
mAP = 0.00 (t)
mAP = 0.94 (president)
mAP = 0.20 (in)
mAP = 0.41 (council)
mAP = 0.00 (c)
mAP = 1.00 (honble)
mAP = 1.00 (sir)
mAP = 0.28 (i)
mAP = 0.92 (have)
mAP = 0.79 (been)
mAP = 0.02 (honored)
mAP = 0.73 (with)
mAP = 0.42 (your)
mAP = 1.00 (secretarys)
mAP = 0.68 (letter)
mAP = 0.65 (of)
mAP = 0.88 (the)
mAP = 1.00 (3d)
mAP = 1.00 (instant)
mAP = 0.94 (and)
mAP = 0.97 (will)
mAP = 1.00 (endeavour)
mAP = 0.00 (3372)
mAP = 0.02 (fort)
mAP = 0.05 (st)
mAP = 0.01 (george)
mAP = 0.00 (20th)
mAP = 0.02 (december)
mAP = 0.13 (1791)
mAP = 1.00 (endeavour)
mAP = 0.08 (to)
mAP = 1.00 (give)
mAP = 0.29 (you)
mAP = 0.67 (every)
mAP = 1.00 (information)
mAP = 0.28 (on)
mAP = 0.87 (the)
mAP = 1.00 (different)
mAP = 1.00 (subjects)
mAP = 0.19 (i)
mAP = 0.67 (can)
mAP = 0.78 (as)
mAP = 0.11 (i)
mAP = 1.00 (consider)
mAP = 0.40 (it)
mAP = 0.50 (my)
mAP = 1.00 (duty)
mAP = 0.78 (as)
mAP = 0.81 (well)
mAP = 0.76 (as)
mAP = 0.35 (your)
mAP = 0.59 (desire)
mAP = 0.52 (you)
mAP = 0.32 (are)
mAP = 1.00 (pleased)
mAP = 0.74 (to)
mAP = 1.00 (say)
mAP = 0.56 (it)
mAP = 1.00 (appearing)
mAP = 0.79 (that)
mAP = 0.52 (a)
mAP = 0.52 (great)
mAP = 0.50 (part)
mAP = 0.63 (of)
mAP = 0.89 (the)
mAP = 0.72 (expence)
mAP = 0.63 (has)
mAP = 0.79 (been)
mAP = 1.00 (applied)
mAP = 0.71 (to)
mAP = 1.00 (purposes)
mAP = 0.64 (which)
mAP = 1.00 (cannot)
mAP = 0.50 (again)
mAP = 0.67 (occur)
mAP = 1.00 (such)
mAP = 0.77 (as)
mAP = 1.00 (enclosing)
mAP = 1.00 (level)
mAP = 1.00 (ling)
mAP = 0.95 (and)
mAP = 1.00 (manuring)
mAP = 0.88 (the)
mAP = 1.00 (ground)
mAP = 0.61 (digging)
mAP = 1.00 (wells)
mAP = 0.00 (c)
mAP = 0.28 (i)
mAP = 1.00 (must)
mAP = 0.58 (observe)
mAP = 0.78 (that)
mAP = 0.77 (as)
mAP = 0.00 (far)
mAP = 0.78 (as)
mAP = 1.00 (regards)
mAP = 1.00 (enclosing)
mAP = 0.94 (and)
mAP = 1.00 (levelling)
mAP = 0.70 (what)
mAP = 0.52 (you)
mAP = 0.92 (have)
mAP = 1.00 (said)
mAP = 0.48 (is)
mAP = 1.00 (generally)
mAP = 1.00 (just)
mAP = 0.83 (except)
mAP = 0.24 (in)
mAP = 1.00 (such)
mAP = 0.46 (a)
mAP = 1.00 (monsoon)
mAP = 0.77 (as)
mAP = 0.88 (the)
mAP = 1.00 (present)
mAP = 0.92 (when)
mAP = 0.89 (the)
mAP = 1.00 (fall)
mAP = 0.63 (of)
mAP = 1.00 (rain)
mAP = 0.71 (has)
mAP = 0.81 (been)
mAP = 0.00 (so)
mAP = 1.00 (uncommonly)
mAP = 0.22 (great)
mAP = 0.77 (as)
mAP = 0.74 (to)
mAP = 1.00 (break)
mAP = 1.00 (down)
mAP = 0.88 (the)
mAP = 1.00 (enclosures)
mAP = 0.94 (and)
mAP = 1.00 (wash)
mAP = 1.00 (away)
mAP = 0.88 (the)
mAP = 1.00 (soil)
mAP = 0.25 (in)
mAP = 1.00 (many)
mAP = 1.00 (places)
mAP = 0.50 (but)
mAP = 0.87 (with)
mAP = 1.00 (respect)
mAP = 0.06 (to)
mAP = 1.00 (manure)
mAP = 0.94 (and)
mAP = 1.00 (digging)
mAP = 0.24 (i)
mAP = 0.00 (am)
mAP = 1.00 (sorry)
mAP = 0.73 (to)
mAP = 0.88 (be)
mAP = 1.00 (obliged)
mAP = 0.73 (to)
mAP = 1.00 (differ)
mAP = 0.86 (the)
mAP = 0.83 (manure)
mAP = 0.21 (in)
mAP = 1.00 (this)
mAP = 1.00 (country)
mAP = 0.55 (is)
mAP = 1.00 (chiefly)
mAP = 1.00 (wood)
mAP = 1.00 (ashes)
mAP = 0.89 (the)
mAP = 1.00 (only)
mAP = 1.00 (useful)
mAP = 0.35 (part)
mAP = 0.60 (of)
mAP = 0.72 (which)
mAP = 0.48 (is)
mAP = 0.87 (the)
mAP = 1.00 (vegetable)
mAP = 1.00 (alkali)
mAP = 0.72 (which)
mAP = 0.89 (being)
mAP = 1.00 (readily)
mAP = 1.00 (dissolved)
mAP = 0.94 (and)
mAP = 1.00 (even)
mAP = 0.00 (attracted)
mAP = 0.66 (by)
mAP = 0.58 (water)
mAP = 0.25 (is)
mAP = 1.00 (entirely)
mAP = 1.00 (washed)
mAP = 0.62 (out)
mAP = 0.64 (of)
mAP = 0.87 (the)
mAP = 1.00 (ground)
mAP = 1.00 (after)
mAP = 1.00 (684)
mAP = 0.18 (fort)
mAP = 0.00 (william)
mAP = 0.57 (30th)
mAP = 0.50 (july)
mAP = 1.00 (1790)
mAP = 1.00 (successively)
mAP = 0.73 (to)
mAP = 0.87 (the)
mAP = 1.00 (second)
mAP = 1.00 (pass)
mAP = 1.00 (called)
mAP = 1.00 (singhori)
mAP = 0.86 (the)
mAP = 1.00 (other)
mAP = 1.00 (way)
mAP = 0.92 (lay)
mAP = 0.52 (over)
mAP = 0.89 (the)
mAP = 0.02 (hills)
mAP = 0.89 (the)
mAP = 1.00 (former)
mAP = 0.35 (he)
mAP = 0.00 (recommended)
mAP = 0.75 (which)
mAP = 0.62 (of)
mAP = 1.00 (course)
mAP = 0.80 (we)
mAP = 1.00 (adopted)
mAP = 0.90 (the)
mAP = 1.00 (third)
mAP = 1.00 (days)
mAP = 0.00 (journey)
mAP = 0.01 (about)
mAP = 1.00 (8)
mAP = 1.00 (koass)
mAP = 0.30 (was)
mAP = 0.51 (over)
mAP = 0.27 (a)
mAP = 1.00 (large)
mAP = 0.00 (mountain)
mAP = 0.92 (when)
mAP = 0.89 (we)
mAP = 1.00 (descended)
mAP = 0.83 (into)
mAP = 0.90 (the)
mAP = 1.00 (only)
mAP = 1.00 (plain)
mAP = 0.20 (on)
mAP = 0.81 (our)
mAP = 1.00 (road)
mAP = 1.00 (between)
mAP = 0.89 (the)
mAP = 1.00 (first)
mAP = 1.00 (gaul)
mAP = 0.94 (and)
mAP = 1.00 (serinagur)
mAP = 0.89 (the)
mAP = 1.00 (widest)
mAP = 0.51 (part)
mAP = 0.61 (of)
mAP = 0.77 (which)
mAP = 0.31 (was)
mAP = 1.00 (near)
mAP = 0.48 (a)
mAP = 1.00 (village)
mAP = 1.00 (called)
mAP = 1.00 (biteate)
mAP = 1.00 (where)
mAP = 0.56 (it)
mAP = 1.00 (might)
mAP = 0.88 (be)
mAP = 0.50 (about)
mAP = 0.40 (a)
mAP = 1.00 (mile)
mAP = 1.00 (across)
mAP = 0.88 (the)
mAP = 1.00 (ram)
mAP = 1.00 (gonga)
mAP = 0.52 (a)
mAP = 1.00 (beautiful)
mAP = 0.83 (river)
mAP = 0.78 (that)
mAP = 1.00 (runs)
mAP = 1.00 (thro)
mAP = 0.62 (this)
mAP = 1.00 (valley)
mAP = 0.92 (our)
mAP = 1.00 (tract)
mAP = 1.00 (this)
mAP = 1.00 (day)
mAP = 0.81 (lay)
mAP = 1.00 (frequently)
mAP = 0.50 (up)
mAP = 1.00 (almost)
mAP = 1.00 (perpendicular)
mAP = 1.00 (rocks)
mAP = 0.75 (or)
mAP = 0.31 (on)
mAP = 0.90 (the)
mAP = 0.88 (the)
mAP = 1.00 (edges)
mAP = 0.60 (of)
mAP = 1.00 (very)
mAP = 1.00 (steep)
mAP = 0.92 (our)
mAP = 1.00 (fourth)
mAP = 0.93 (and)
mAP = 1.00 (fifth)
mAP = 1.00 (days)
mAP = 0.83 (were)
mAP = 1.00 (spent)
mAP = 0.25 (in)
mAP = 1.00 (ascending)
mAP = 0.67 (hills)
mAP = 1.00 (above)
mAP = 0.67 (hills)
mAP = 0.50 (till)
mAP = 0.68 (we)
mAP = 0.51 (a)
mAP = 1.00 (mountainous)
mAP = 1.00 (ridge)
mAP = 0.60 (of)
mAP = 0.55 (great)
mAP = 1.00 (height)
mAP = 1.00 (named)
mAP = 1.00 (sallaramunda)
mAP = 1.00 (here)
mAP = 0.68 (we)
mAP = 1.00 (found)
mAP = 0.02 (a)
mAP = 1.00 (sort)
mAP = 0.61 (of)
mAP = 1.00 (stone)
mAP = 1.00 (house)
mAP = 1.00 (close)
mAP = 1.00 (under)
mAP = 0.46 (a)
mAP = 1.00 (rock)
mAP = 0.52 (built)
mAP = 0.67 (by)
mAP = 0.89 (the)
mAP = 1.00 (rajah)
mAP = 0.53 (for)
mAP = 0.00 (1022)
mAP = 0.03 (1023)
mAP = 0.00 (1050)
mAP = 0.00 (1051)
mAP = 1.00 (1052)
mAP = 1.00 (125)
mAP = 0.00 (125127)
mAP = 0.00 (14583)
mAP = 0.17 (150)
mAP = 0.50 (1790)
mAP = 0.31 (1791)
mAP = 0.03 (1843)
mAP = 0.00 (19th)
mAP = 0.00 (1st)
mAP = 0.06 (20)
mAP = 0.00 (20th)
mAP = 0.20 (26h)
mAP = 0.08 (27)
mAP = 0.00 (2d)
mAP = 0.10 (30th)
mAP = 0.02 (3185)
mAP = 0.00 (3186)
mAP = 0.00 (3187)
mAP = 0.17 (3189)
mAP = 0.00 (3190)
mAP = 0.50 (32)
mAP = 0.00 (3372)
mAP = 0.00 (3379)
mAP = 0.33 (3d)
mAP = 0.00 (531517)
mAP = 0.03 (684)
mAP = 0.00 (7th)
mAP = 0.08 (8)
mAP = 0.03 (83)
mAP = 0.50 (a)
mAP = 1.00 (ably)
mAP = 0.50 (about)
mAP = 1.00 (above)
mAP = 1.00 (absolutely)
mAP = 0.01 (accom)
mAP = 1.00 (accompanied)
mAP = 1.00 (account)
mAP = 0.73 (accounts)
mAP = 1.00 (across)
mAP = 1.00 (additional)
mAP = 1.00 (addressed)
mAP = 0.33 (adjust)
mAP = 1.00 (adopted)
mAP = 1.00 (adv)
mAP = 1.00 (advantageous)
mAP = 1.00 (after)
mAP = 0.50 (again)
mAP = 1.00 (against)
mAP = 0.00 (agree)
mAP = 1.00 (agreed)
mAP = 1.00 (alkali)
mAP = 0.75 (all)
mAP = 1.00 (allahabad)
mAP = 1.00 (allow)
mAP = 0.64 (allowance)
mAP = 1.00 (almost)
mAP = 1.00 (already)
mAP = 0.51 (also)
mAP = 0.92 (always)
mAP = 0.00 (am)
mAP = 0.92 (and)
mAP = 1.00 (andersons)
mAP = 1.00 (andrew)
mAP = 1.00 (andw)
mAP = 1.00 (antage)
mAP = 0.81 (any)
mAP = 1.00 (appearing)
mAP = 1.00 (appears)
mAP = 0.33 (applied)
mAP = 1.00 (appropriation)
mAP = 0.06 (approved)
mAP = 0.29 (are)
mAP = 1.00 (arrangements)
mAP = 0.25 (arrival)
mAP = 0.75 (as)
mAP = 1.00 (ascending)
mAP = 1.00 (ashes)
mAP = 0.11 (assist)
mAP = 0.67 (at)
mAP = 0.52 (atkinson)
mAP = 1.00 (attention)
mAP = 0.00 (attracted)
mAP = 0.50 (authorized)
mAP = 1.00 (away)
mAP = 0.00 (balance)
mAP = 1.00 (bar)
mAP = 1.00 (barren)
mAP = 0.88 (be)
mAP = 1.00 (beautiful)
mAP = 0.79 (been)
mAP = 0.69 (before)
mAP = 1.00 (begun)
mAP = 0.89 (being)
mAP = 1.00 (bengal)
mAP = 0.91 (berry)
mAP = 1.00 (besides)
mAP = 1.00 (between)
mAP = 1.00 (biteate)
mAP = 0.83 (board)
mAP = 0.33 (boards)
mAP = 0.50 (botanical)
mAP = 1.00 (break)
mAP = 0.55 (built)
mAP = 1.00 (bursements)
mAP = 0.50 (but)
mAP = 0.70 (by)
mAP = 0.10 (c)
mAP = 0.03 (calcutta)
mAP = 1.00 (called)
mAP = 1.00 (can)
mAP = 1.00 (cannot)
mAP = 0.02 (carries)
mAP = 1.00 (cases)
mAP = 0.50 (cash)
mAP = 1.00 (certainly)
mAP = 1.00 (charges)
mAP = 0.14 (charles)
mAP = 1.00 (chief)
mAP = 1.00 (chiefly)
mAP = 1.00 (circumstances)
mAP = 1.00 (civil)
mAP = 0.00 (clerk)
mAP = 1.00 (close)
mAP = 0.20 (closed)
mAP = 0.50 (com)
mAP = 1.00 (commander)
mAP = 1.00 (commencement)
mAP = 0.33 (commissioner)
mAP = 1.00 (commissioners)
mAP = 0.83 (companys)
mAP = 0.00 (comparatively)
mAP = 1.00 (complaining)
mAP = 1.00 (concerned)
mAP = 1.00 (confine)
mAP = 0.08 (cons)
mAP = 1.00 (consider)
mAP = 1.00 (considerable)
mAP = 0.50 (considerably)
mAP = 1.00 (considered)
mAP = 1.00 (contingencies)
mAP = 1.00 (cooley)
mAP = 1.00 (copy)
mAP = 0.50 (correspond)
mAP = 0.41 (council)
mAP = 1.00 (country)
mAP = 0.00 (courage)
mAP = 1.00 (course)
mAP = 0.63 (court)
mAP = 0.10 (cul)
mAP = 1.00 (cultivated)
mAP = 0.67 (cultivation)
mAP = 1.00 (current)
mAP = 0.00 (dated)
